,funding_agency_name,Country
1805,National Research Facilities and Equipment Center,Thailand
1806,"Japan-ASEAN Science, Technology and Innovation Platform",Japan
1808,DRPM UI's,Indonesia
1809,DRPM UI’s,Indonesia
1810,Academic Frontier Youth Team,Japan
1811,European ERDF,European Union
1812,Center of Excellence in Pediatric Infectious Diseases and Vaccines,Thailand
1813,General Starch Ltd.,Thailand
1814,"Petroleum and Petrochemical College, The Energy Policy and Planning Office",Thailand
1816,Detudom Royal Crown Prince Hospital,Thailand
1818,Division of Analytical Chemistry of the European Chemical Society,European Union
1821,Supporting Research Funds for Industries,Thailand
1822,Excellence Center for Gastrointestinal Endoscopy,Thailand
1823,NRU‐ KU,Thailand
1824,Institute for Urban Disease Control and Prevention,Thailand
1825,"Home Co., Ltd.",Thailand
1827,International Development Fund in NICT,Japan
1828,Southeast Asian Ministers of Education Tropical Medicine and Public Health Network,Thailand
1829,World Mosquito Program,Thailand
1831,Thung Khao Phuang sub-district,Thailand
1832,NUCBPI-BBMRI,Thailand
1833,National University Complex for Biomedical and Applied Research,Thailand
1834,National Systems Research Institute,Thailand
1836,PALEVOPRIM,France
1837,UNINET,Thailand
1838,CU-AGF,Thailand
1839,OPS,Thailand
1840,"Chemical Innovation Co., Ltd.",Thailand
1841,Fundamental Fund for Basic Research,Russia
1842,Umaporn Udomsubpayakul,Thailand
1843,Thaisilicate Chemicals Co. Ltd.,Thailand
1844,Hibah Riset Mandat Kolaborasi Mitra Luar Negeri,Indonesia
1845,Mulawaraman University,Indonesia
1846,TREAT Asia,Thailand
1848,University Research Council,United States
1849,Thai Herbs,Thailand
1851,CrystalLyte Co. Ltd.,Thailand
1852,"CrystalLyte Co., Ltd.",Thailand
1853,Soft Square International Co. Ltd.,Thailand
1854,"Soft Square International Co., Ltd.",Thailand
1856,Weatherhead Presidential Endowment Fund,United States
1858,Faculty of Sports Science Fund,Thailand
1859,GMA foundations,United States
1861,Hunan Cancer Hospital Climb Plan,China
1863,Center of Excellence in Clinical Virology Fund,Thailand
1864,Centre for Excellence in Food Security,South Africa
1866,Higher Education for Industry Consortium,United States
1867,CMRIT,India
1868,YMU,Japan
1869,CHRIST,India
1870,Deemed to be University,India
1871,Micro/Nano Electromechanical Integrated Device Research Unit,Thailand
1872,Centre of Excellence in Mathematics,Thailand
1874,"Faculty of Medicine, Exercise and Sport Sciences Development",Thailand
1879,Graduate Teaching/Research Assistant scholarship for Thanat Vajeethaveesin,Thailand
1880,IOC-WESTPAC,Thailand
1883,Central government guided local science and technology development fund project,China
1884,Institute of Food Research and Development,Thailand
1885,BIAL Biotech,Portugal
1886,Asia Pacific Network for Global Change,Japan
1887,CU Hospital,Thailand
1888,Boston Scientific Asia-Pacific,United States
1889,TPGHAI,Thailand
1890,Fundamental Fund,Thailand
1892,NCRT,Thailand
1893,Nordic Centre for Sustainable and Resilient Aquatic Production,Denmark
1894,SUREAQUA,Norway
1895,Coordinaci?n General Acad?mica e Innovaci?n,Mexico
1896,ESCO,Thailand
1897,"Wattanasuk International Co., Ltd.",Thailand
1898,Econometric Society,United States
1899,Economic Science Association World Meeting,United States
1900,Falcon Scientific Editing,United States
1902,Bach Mai Hospital,Vietnam
1903,"Queen Elizabeth Hospital, Hong Kong",Hong Kong
1904,"TREAT Asia, amfAR",United States
1905,VHS-Infectious Diseases Medical Centre,Germany
1911,EU IMI2-funded consortium Litmus,European Union
1912,Exalenz Bioscience Ltd.,Israel
1914,Julins Fond,Sweden
1915,iXscient Ltd.,United Kingdom
1916,Mahi dol University,Thailand
1919,Biostatistics Excellent Center,Thailand
1921,"Department of Clinical Oncology, School of Clinical Medicine",United Kingdom
1923,IJM,Thailand
1924,Monoclonal Antibody Production and Application Research Team,Thailand
1925,Extreme Conditions Physics Research Laboratory,United States
1926,Veterinary Stem Cell and Bioengineering Innovation Center,Thailand
1927,Center of Excellence in Hepatitis and Liver Cancer Department of Biochemistry,Thailand
1928,Wireless Network and Future Internet Research Unit,Thailand
1929,VentureWise,Australia
1930,Biogas and Biorefinery Laboratory,Thailand
1932,Emerging Industries Research Institute,China
1934,Tin Industry,Thailand
1935,Nerinat Yongphiphatwong,Thailand
1936,Siddha Kumwongwan,Thailand
1938,ICE-Matter,Germany
1940,Basic Research Fund,Israel
1941,AMI,France
1942,College of Advanced Manufacturing Innovation,Thailand
1944,CU ASEAN,Thailand
1947,National Key Research & Development Program ‐ Intergovernmental International Science and Technology Innovation Cooperation Project,China
1948,Kaeng Krachan National Park,Thailand
1949,Kaeng Krachan National Park and Khao Soi Dao Wildlife Sanctuary,Thailand
1950,Khao Soi Dao Wildlife Sanctuary,Thailand
1951,Khao Yai National Park,Thailand
1952,Center of Excel lence for Innovation and Endoscopy in Gastrointestinal Oncol-ogy,Thailand
1955,Zoological Institute,Russia
1957,Photaram Hospital,Thailand
1958,PharStat Inc.,United States
1960,RGJ-PHD,THAILAND
1961,"MHPM Co., Ltd.",Thailand
1969,De velopment and Promotion of Science and Technology Talents Project,Thailand
1970,Saint Louis Hospital,Thailand
1971,National Space Board,Sweden
1973,Toyoaki Scholarship Foundation,Japan
1974,Emerging Infectious Diseases Clinical Centre,Thailand
1976,Saraburi Land Development Station,Thailand
1977,Center of Excellence for Innovation in Analytical Science and Technology,Thailand
1978,Prasu-Arthorn Animal Hospital,Thailand.
1979,Politics & Society,United States
1980,Eisai and Taiho,Japan
1981,Thita Krutchuen (College of Fine Arts,Thailand
1982,Education and Research Management Committee,Thailand
1983,MSCA-RISE H2020,European Union
1984,"Natural Palm Group Co., Ltd.",Thailand
1985,Sahagreen Forest Co. Ltd,Thailand
1986,"Sahagreen Forest Co., Ltd",Thailand
1988,Wikipedia Public Domain,United States
1991,Health System Research Institutes,Thailand
1992,European Union’s Eurostar Program,European Union
1993,ASEAN-India S & T Development Fund,India
1995,AKUATROP,Malaysia
1996,Institute of Tropical Aquaculture and Fisheries,Malaysia
1997,Angsuwarin Wongpiang,Thailand
1998,Anocha Pullboon,Thailand
1999,Apinya Wechpradit,Thailand
2000,Chadarat Kleebchaiyaphum,Thailand
2003,Korawee Sukmee,Thailand
2004,Montha Jankramol,Thailand
2008,Pensri Uttayotha,Thailand
2009,Rujira Luksanaprom,Thailand
2012,Sriphrae Uppamai,Thailand
2014,Wichai Sopassathit,Thailand
2016,Department of Drainage and Sewerage,Thailand
2017,GE Healthcare and Cannon Healthcare,United States
2022,Merz,Germany
2023,Coax Group Corporation Ltd,Thailand
2024,PYTHEAS,France
2026,Division for the Social Sciences,United States
2027,Millennium Institute for Research on Depression,United States
2029,Exercise and Sport Sciences Development,Thailand
2030,AIMI,United States
2031,Global Food & Nutrition Security,United States
2032,MIMS,Japan
2035,Senhwa Biosciences,Taiwan
2039,"National science, Research and Innovation Fund",Thailand
2040,PSU EnviLab,Thailand
2041,BBGI Bio Diesel Company Limited,Thailand
2042,International Research Network for Functional Food Discovery & Development,Thailand
2043,SFORL,France
2044,NRCPD-OUAVM,Thailand
2048,Scientific and Technological Research Equipment Center,Thailand
2049,School of Food Industry,Thailand
2051,TU Research Scholar,Thailand
2054,TRF,Thailand
2059,Research & Innovation for Sustainability Center,Thailand
2062,European Union-NextGenerationEU,The European Union
2063,KU-biodiesel,Thailand
2065,School of Agricultural Technology,Thailand
2066,Faculty of Animal Sciences and Agricultural Technology,Thailand
2067,Center of Excellence for Innovation and Endoscopy in Gastrointestinal Oncology,Thailand
2068,Center for Inucubation Innovation Research and Consultancy,India
2069,Institute of Medical Science,Japan
2070,Scientific Research on Innovative Areas,Japan
2072,BioQuest Solutions,United States
2074,Rachadapisek Sompoch,Thailand
2075,Faculty of Engineering Research and Institute of Research and Development,Thailand
2076,Department of Microbiology and Parasitology,Thailand
2077,Biodiversity Research and Training programme,Thailand
2080,"Project for Cooperative R&D between Industry, Academy, and Research Institute",South Korea
2081,Nabsolute Co. Ltd.,Thailand
2082,Dementia Drug Resources Development Center,Thailand
2084,Animals for Scientific Purposes Act,Australia
2085,National Research Council Guide for the Care,Canada
2086,Marriage of Agriculture,Thailand
2087,Genomics Research Network on Disease Resistance in Shrimp,Thailand
2088,Clinixir Co. Ltd,Thailand
2089,Center of Excellence for Allergy and Clinical Immunology,Thailand
2091,"Fresh & Friendly Farm Co., Ltd.",Thailand
2093,Andrew David Heitman Neurovascular Foundation,United States
2094,PMU-C,Thailand
2102,NME,United Kingdom
2106,Lightbug Ltd,United Kingdom
2107,Tito's Handmade Vodka,United States
2108,Absolute Well Being Group Co.,Thailand
2109,ECCU,Eastern Caribbean Central Bank (ECCU) is located in Saint Kitts and Nevis.
2110,328 Si Ayutthaya Rd.,Thailand
2111,Key Laboratory of Fine Chemical Application TechnoLogy of Luzhou,China
2115,CU-NTU-TU,Thailand
2116,Tosaphol Saetung Keetap-ithchayakul,Thailand
2121,Group Aunt Thongkum Foundation,Thailand
2123,Busrakham Jasmine Limited,Thailand
2125,European Union Next‐GenerationEU,The European Union
2126,Marie Skłodowska‐Curie foundation,European Union (EU)
2127,EU-India Platform for Social Sciences and Humanities,India
2128,Eunice Kennedy,United States
2130,Ratchadapisek Sompoj Endowment Fund,Thailand
2132,College of Science SciRIS-II,United States
2133,College of Science SciRIS‐II,United States
2135,National Science Research and Innovation Fund,Thailand
2137,Institute of Virology and Immunology IVI,Switzerland
2138,"Program Management Unit for Human Resources and Institutional Development, Research, and Innovation— CU",Thailand
2139,"Program Management Unit for Human Resources and Institutional Development, Research, and Innovation—CU",Thailand
2140,National Cyclotron,Thailand
2142,Center of Excellence in Natural Products for Ageing and Chronic Diseases,Thailand
2144,Janssen Pharmaceuticals Asia Pacific,Thailand
2145,National Vaccination Fund,Thailand
2147,Center of Excellence in Applied in Epidemiology,Thailand
2149,DISAT,Italy
2150,European Union Horizon 2020 Research and Innovation 772 programme,European Union
2152,Institute of Nature Conservation,Poland
2154,Mekong Region Land Governance Project,Thailand
2155,Jamie Erin Follicular Lymphoma Consortium,United States
2158,Zuellig Pharma Therapeutics,Thailand
2159,Research Institute for Health Science,Thailand
2160,Department of Retrovirology,Thailand
2161,Development of Chula New Faculty Staff,Thailand
2162,"Gene Bio Tech Co., Ltd",Thailand
2163,"Gene Bio Tech Co., Ltd.",Thailand
2164,Center of Excellence in Microbial Technology for Marine Pollution Treatment,Thailand
2166,Hope Pharmaceuticals,United States
2167,Excellence Center for Sleep Disorders,Thailand
2170,"National Science, Research, and Innovation fund",Thailand
2173,Collaborative Research Survey on Marine Fisheries Resources and Marine Environment in the Gulf of Thailand,Thailand
2174,"Department of Critical Care Medicine, Respiratory Institute",United States
2175,"Division of Endocrinology, Diabetes and Hypertension",United States
2176,Chakorn Viriyakul and Chuvich Chaovarin,Thailand
2177,Center of Excellence for Shrimp Molecular Biology and Biotechnology,Thailand
2180,National Energy R&D Center of Petroleum Refining Technology,China
2181,RIPP,Thailand
2182,Shionogi and Pulmocide,Japan
2183,NCBP,United States
2184,"Abbott, Fresenius, Nutricia, Nestle, Takeda",Switzerland
2185,Oktal Pharma,Croatia
2186,"Eikonnex AI Co., Ltd.",Thailand
2187,Allergy Diagnosis and Systems Medicine Interest Group of EAACI,European Union
2190,DGAKI,Germany
2191,Danube Allergy Research Cluster,Austria
2193,"Trade, Environment and Development Hub project",United Kingdom
2194,"Department of Textile Engineering, Faculty of Engineering",Thailand
2196,ChulalongkornColostethus macha,Thailand
2198,Office of the Education Council Fund and Also,Thailand
2199,"Rano Tech Co., Ltd.",Thailand
2200,Chuchat Choklap,Thailand
2201,Wildlife Research Center,Thailand
2202,Animal Virome and Diagnostic Development Research Unit,Thailand
2203,SEAFDEC,Thailand
2208,Centre of Excellence in Artificial Intelligence,Thailand
2209,"AbbVie, Acadia, Acorda, Adamas, Addex, Amneal, Aptinyx, Axial",United States
2212,"Akkhraratchakumari Veterinary College, One Health Research Center",Thailand
2213,Center of Excellence in Innovation of Essential Oil,Thailand
2214,"Petroleum and Petrochemical College, Center of Excellence on Petrochemical and Materials Technology",Thailand
2215,TGIST 2020,Thailand
2219,Economists for Peace & Security Panel,United States
2224,Veterinary Diagnostic Laboratories,United States
2226,PHACS ACASI,United States
2227,GAMRIF,United Kingdom
2228,Center of Excellence in Computational Chemistry,Thailand
2229,National Vaccine Institutes,Thailand
2230,Fisheries and Aquaculture Resources for Sustainable Development,Thailand
2231,Idlib University,Syria
2232,Business Informatics Laboratory,Thailand
2233,NMBE,Switzerland
2234,National Research and Innovation Information System,Thailand
2235,Foerderer Fund,Germany
2236,Research Unit of Innovative Diagnosis of Antimicrobial Resistance,Thailand
2237,CIBER Epidemiology and Public Health,Spain
2238,World Health Organization Collaborating Centre for Global Women's Health,United Kingdom
2239,Digital Economy and Society Development Fund,Thailand
2243,Boron Neutron Capture Therapy Research Center,Thailand
2246,Center of Excellence in Bioconversion and Bioseparation for Platform Chemical Production,Thailand
